
2024/10/27 (18:19:37) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (18:19:37) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/27 (18:19:44) | ===> btop++ v.1.4.0
2024/10/27 (18:19:44) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/27 (18:19:44) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/28 (19:59:25) | ===> btop++ v.1.4.0
2024/10/28 (19:59:25) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/28 (19:59:25) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/29 (16:22:58) | ===> btop++ v.1.4.0
2024/10/29 (16:22:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/29 (16:22:58) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/29 (16:23:59) | ===> btop++ v.1.4.0
2024/10/29 (16:23:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/29 (16:23:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/29 (16:27:05) | ===> btop++ v.1.4.0
2024/10/29 (16:27:05) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/29 (16:27:05) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/29 (18:18:15) | ===> btop++ v.1.4.0
2024/10/29 (18:18:15) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/29 (18:18:15) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/29 (18:22:10) | ===> btop++ v.1.4.0
2024/10/29 (18:22:10) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/29 (18:22:10) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/29 (18:39:07) | ===> btop++ v.1.4.0
2024/10/29 (18:39:07) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/29 (18:39:07) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/30 (16:41:59) | ===> btop++ v.1.4.0
2024/10/30 (16:41:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/30 (16:41:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/30 (20:22:53) | ===> btop++ v.1.4.0
2024/10/30 (20:22:53) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/30 (20:22:53) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/30 (20:25:42) | ===> btop++ v.1.4.0
2024/10/30 (20:25:42) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/30 (20:25:42) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/31 (13:42:59) | ===> btop++ v.1.4.0
2024/10/31 (13:42:59) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/31 (13:42:59) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/31 (16:05:00) | ===> btop++ v.1.4.0
2024/10/31 (16:05:00) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/10/31 (16:05:00) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/10/31 (16:07:49) | ===> btop++ v.1.4.0
2024/10/31 (16:07:49) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
